year,concrete, brick,wood,steel, glass,plastics,aluminium ,copper
1600,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1601,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1602,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1603,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1604,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1605,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1606,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1607,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1608,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1609,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1610,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1611,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1612,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1613,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1614,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1615,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1616,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1617,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1618,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1619,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1620,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1621,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1622,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1623,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1624,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1625,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1626,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1627,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1628,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1629,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1630,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1631,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1632,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1633,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1634,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1635,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1636,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1637,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1638,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1639,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1640,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1641,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1642,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1643,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1644,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1645,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1646,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1647,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1648,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1649,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1650,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1651,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1652,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1653,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1654,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1655,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1656,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1657,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1658,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1659,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1660,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1661,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1662,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1663,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1664,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1665,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1666,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1667,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1668,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1669,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1670,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1671,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1672,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1673,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1674,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1675,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1676,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1677,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1678,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1679,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1680,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1681,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1682,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1683,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1684,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1685,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1686,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1687,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1688,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1689,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1690,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1691,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1692,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1693,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1694,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1695,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1696,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1697,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1698,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1699,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1700,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1701,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1702,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1703,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1704,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1705,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1706,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1707,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1708,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1709,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1710,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1711,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1712,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1713,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1714,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1715,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1716,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1717,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1718,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1719,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1720,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1721,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1722,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1723,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1724,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1725,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1726,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1727,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1728,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1729,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1730,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1731,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1732,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1733,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1734,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1735,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1736,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1737,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1738,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1739,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1740,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1741,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1742,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1743,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1744,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1745,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1746,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1747,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1748,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1749,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1750,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1751,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1752,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1753,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1754,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1755,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1756,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1757,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1758,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1759,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1760,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1761,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1762,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1763,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1764,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1765,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1766,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1767,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1768,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1769,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1770,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1771,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1772,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1773,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1774,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1775,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1776,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1777,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1778,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1779,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1780,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1781,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1782,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1783,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1784,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1785,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1786,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1787,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1788,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1789,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1790,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1791,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1792,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1793,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1794,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1795,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1796,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1797,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1798,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1799,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1800,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1801,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1802,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1803,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1804,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1805,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1806,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1807,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1808,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1809,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1810,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1811,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1812,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1813,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1814,867.16,181.39,20.28,0.0,0.0,0.0,0.0,0.0
1815,867.16,181.39,20.28,0.0,0.10500000000000001,0.0,0.0,0.0
1816,867.16,181.39,20.28,0.0,0.21000000000000002,0.0,0.0,0.0
1817,867.16,181.39,20.28,0.0,0.31500000000000006,0.0,0.0,0.0
1818,867.16,181.39,20.28,0.0,0.42000000000000004,0.0,0.0,0.0
1819,867.16,181.39,20.28,0.0,0.525,0.0,0.0,0.0
1820,867.16,181.39,20.28,0.0,0.63,0.0,0.0,0.0
1821,867.16,181.39,20.28,0.0,0.735,0.0,0.0,0.0
1822,867.16,181.39,20.28,0.0,0.84,0.0,0.0,0.0
1823,867.16,181.39,20.28,0.0,0.945,0.0,0.0,0.0
1824,867.16,181.39,20.28,0.0,1.05,0.0,0.0,0.0
1825,867.16,181.39,20.28,0.0,1.155,0.0,0.0,0.0
1826,867.16,181.39,20.28,0.0,1.26,0.0,0.0,0.0
1827,867.16,181.39,20.28,0.0,1.365,0.0,0.0,0.0
1828,867.16,181.39,20.28,0.0,1.47,0.0,0.0,0.0
1829,867.16,181.39,20.28,0.0,1.575,0.0,0.0,0.0
1830,867.16,181.39,20.28,0.0,1.68,0.0,0.0,0.0
1831,867.16,181.39,20.28,1.6225,1.785,0.066,0.0245,0.009
1832,867.16,181.39,20.28,3.245,1.89,0.132,0.0905,0.075
1833,867.16,181.39,20.28,4.8675,1.9949999999999999,0.198,0.1565,0.14100000000000001
1834,867.16,181.39,20.28,6.49,2.1,0.264,0.2225,0.20700000000000002
1835,867.16,181.39,20.28,8.1125,2.1,0.33,0.2885,0.273
1836,867.16,181.39,20.28,9.735000000000001,2.1,0.396,0.3545,0.339
1837,867.16,181.39,20.28,11.357500000000002,2.1,0.462,0.4205,0.405
1838,867.16,181.39,20.28,12.980000000000002,2.1,0.528,0.4865,0.47100000000000003
1839,867.16,181.39,20.28,14.602500000000003,2.1,0.5940000000000001,0.5525,0.537
1840,867.16,181.39,20.28,16.225,2.1,0.6600000000000001,0.6185,0.603
1841,867.16,181.39,20.28,17.8475,2.1,0.7260000000000002,0.6845000000000001,0.669
1842,867.16,181.39,20.28,19.47,2.1,0.7920000000000003,0.7505000000000002,0.7350000000000001
1843,867.16,181.39,20.28,21.092499999999998,2.1,0.8580000000000003,0.8165000000000002,0.8010000000000002
1844,867.16,181.39,20.28,22.714999999999996,2.1,0.9240000000000004,0.8825000000000003,0.8670000000000002
1845,867.16,181.39,20.28,24.337499999999995,2.1,0.9900000000000004,0.9485000000000003,0.9330000000000003
1846,867.16,181.39,20.28,25.959999999999994,2.1,1.0560000000000005,1.0145000000000004,0.9990000000000003
1847,867.16,181.39,20.28,27.582499999999992,2.1,1.1220000000000006,1.0805000000000005,1.0650000000000004
1848,867.16,181.39,20.28,29.20499999999999,2.1,1.1880000000000006,1.1465000000000005,1.1310000000000004
1849,867.16,181.39,20.28,30.82749999999999,2.1,1.32,0.49,0.18
