year,concrete, brick,wood,steel, glass,plastics,aluminium ,copper
1600,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1601,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1602,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1603,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1604,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1605,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1606,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1607,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1608,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1609,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1610,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1611,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1612,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1613,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1614,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1615,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1616,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1617,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1618,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1619,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1620,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1621,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1622,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1623,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1624,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1625,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1626,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1627,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1628,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1629,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1630,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1631,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1632,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
